youtubeID,shot,concept,start,end,concepts,probability
UaZGro6_bdY,shot_8,89933,23.959999,29.719999,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,28.160000
RXYv7eymvHo,shot_77,1278,409.720001,418.519989,#vehicle/#car/#ground_vehicles/#outdoor/#car_racing,417.600006
tjy9j2FNwfk,shot_4,108983,23.123100,30.997633,#ground_vehicles/#car/#vehicle/#minivan/#exiting_a_vehicle,24.224199
osTgtz0-UW4,shot_131,8225,627.541687,632.666687,#vehicle/#car/#ground_vehicles/#minivan/#road,628.541687
ml3z9ChKE8o,shot_1,113669,2.135467,17.417400,#vehicle/#car/#ground_vehicles/#exiting_a_vehicle/#minivan,16.149467
I8iuBPYgTvs,shot_170,79765,1533.239990,1539.319946,#car/#car_racing/#vehicle/#sports_car/#ground_vehicles,1539.040039
hJ2BnOHV27A,shot_3,81598,24.400000,30.280001,#car/#vehicle/#ground_vehicles/#car_racing/#sports_car,25.440001
VM0EpjVQuNA,shot_6,79347,103.703598,131.764969,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,104.404297
JgJnDChqYh0,shot_85,7926,409.959991,415.600006,#car/#sports_car/#car_racing/#vehicle/#ground_vehicles,411.200012
u48YrUWGj6k,shot_16,961,57.320000,69.879997,#vehicle/#ground_vehicles/#car/#exiting_a_vehicle/#outdoor,67.040001
QrkTrUlRn9Y,shot_43,106333,567.833313,577.799988,#vehicle/#car/#ground_vehicles/#exiting_a_vehicle/#van,572.500000
Ak8R8M238AI,shot_2,83800,21.888533,28.328300,#car/#vehicle/#ground_vehicles/#outdoor/#exiting_a_vehicle,22.122101
GqA8R8bD9OI,shot_323,9306,731.719971,737.799988,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#van,734.080017
2LSC5-bARg0,shot_0,92445,0.000000,19.440001,#car/#exiting_a_vehicle/#vehicle/#ground_vehicles/#outdoor,0.000000
OwvYlyYnpYs,shot_10,95637,51.785069,58.591866,#car/#ground_vehicles/#vehicle/#outdoor/#minivan,54.187466
qKlTHweYzCg,shot_5,15998,13.666667,18.733334,#car/#vehicle/#ground_vehicles/#car_racing/#outdoor,16.799999
bWdWfbVn1f4,shot_11,92385,7.007000,25.392033,#car/#vehicle/#ground_vehicles/#car_racing/#sports_car,11.978633
O3ZgPaJWw-U,shot_180,87073,741.125000,748.833313,#car/#car_racing/#ground_vehicles/#sports_car/#vehicle,744.541687
O3ZgPaJWw-U,shot_79,86972,340.833344,346.250000,#car/#ground_vehicles/#sports_car/#vehicle/#car_racing,340.833344
RmNcoo-aAkM,shot_58,9843,219.928040,225.892334,#car/#vehicle/#ground_vehicles/#minivan/#outdoor,220.929047
CKgYGgMoV_E,shot_14,88089,103.269836,110.910797,#vehicle/#car/#ground_vehicles/#exiting_car/#sports_car,104.504402
aWDHa-ZBvqo,shot_56,72331,323.899994,330.000000,#vehicle/#car/#ground_vehicles/#road/#outdoor,328.833344
L_bLkjBb5co,shot_61,4960,368.835144,374.540833,#vehicle/#ground_vehicles/#car/#road/#outdoor,371.704681
KNFqcbwJH90,shot_5,15203,13.666667,18.733334,#car/#vehicle/#ground_vehicles/#car_racing/#outdoor,16.799999
JhYi_4IvYr8,shot_35,4584,51.439999,56.840000,#car/#vehicle/#ground_vehicles/#sports_car/#text,51.520000
iG5xsvqvi24,shot_5,16932,14.180833,19.252567,#car/#vehicle/#ground_vehicles/#car_racing/#outdoor,16.916901
5TtbA5ckQvE,shot_31,4765,97.160004,102.919998,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#construction_vehicles,98.400002
VPmK1O1g8Tk,shot_78,12053,668.440002,676.200012,#car/#vehicle/#ground_vehicles/#text/#outdoor,675.080017
9x2GSCXeBoI,shot_5,14456,13.666667,18.733334,#car/#vehicle/#ground_vehicles/#car_racing/#outdoor,16.799999
MBiX7dVQsL8,shot_30,107585,401.366669,406.899994,#car/#vehicle/#ground_vehicles/#outdoor/#exiting_a_vehicle,402.166656
vZD8rfF0-n8,shot_27,94706,78.745331,89.055634,#car/#ground_vehicles/#vehicle/#exiting_a_vehicle/#outdoor,88.288200
L_bLkjBb5co,shot_55,4954,335.268280,341.240906,#vehicle/#car/#ground_vehicles/#outdoor/#road,337.904236
L_bLkjBb5co,shot_9,4908,45.879166,51.084366,#vehicle/#car/#ground_vehicles/#outdoor/#road,50.583866
BtwWUTSailQ,shot_17,76372,190.559998,212.119995,#ground_vehicles/#vehicle/#car/#car_racing/#outdoor,204.240005
pStxauLe-k0,shot_5,2926,27.894562,40.373707,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#construction_vehicles,39.906574
UHhdu2LEMOA,shot_5,13899,13.680333,18.752068,#car/#vehicle/#ground_vehicles/#car_racing/#outdoor,16.816799
lSyUb9gORis,shot_6,7390,38.919998,44.680000,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,41.799999
Q5mHPo2yDG8,shot_5,14142,13.666667,18.733334,#car/#vehicle/#ground_vehicles/#car_racing/#outdoor,16.799999
fVWbeOa2Ow8,shot_2,7423,26.760000,36.400002,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#construction_vehicles,29.760000
gxeKvpC9oXk,shot_31,35774,158.033340,163.199997,#car/#sports_car/#ground_vehicles/#car_racing/#vehicle,160.966660
6DyNc8L_wZU,shot_3,11040,7.080000,13.080000,#vehicle/#car/#ground_vehicles/#exiting_a_vehicle/#construction_vehicles,7.320000
jFMj5gzeqLQ,shot_25,7576,132.549088,140.974167,#car/#ground_vehicles/#vehicle/#exiting_a_vehicle/#outdoor,135.885757
L_bLkjBb5co,shot_34,4933,214.247360,220.987427,#vehicle/#ground_vehicles/#car/#outdoor/#road,216.249374
ofYUM5q8Yn8,shot_18,84377,357.640015,362.640015,#vehicle/#ground_vehicles/#car/#road/#text,361.959991
zK9O3cGsekA,shot_23,9574,122.831039,130.672211,#car/#vehicle/#ground_vehicles/#text/#minivan,122.831039
MMhJ1O5EYVk,shot_36,20592,137.053589,142.100296,#car/#ground_vehicles/#sports_car/#vehicle/#car_racing,139.889755
gw96dizsgR4,shot_11,83171,52.080002,57.840000,#car/#sports_car/#ground_vehicles/#vehicle/#car_racing,53.720001
gxeKvpC9oXk,shot_18,35761,84.699997,91.366669,#car/#vehicle/#ground_vehicles/#sports_car/#car_racing,86.699997
qFTfwPTPuSo,shot_64,6946,224.679993,233.679993,#vehicle/#car/#ground_vehicles/#exiting_a_vehicle/#outdoor,233.119995
VM0EpjVQuNA,shot_7,79348,131.764969,156.289474,#ground_vehicles/#vehicle/#car/#minivan/#outdoor,138.571762
mcCiX6y35Gs,shot_16,12214,83.680000,92.000000,#ground_vehicles/#vehicle/#car/#minivan/#outdoor,91.959999
a2vcT1bq2XA,shot_89,75049,434.100342,441.174072,#sports_car/#car_racing/#car/#ground_vehicles/#vehicle,440.573456
WZZ9uccZ370,shot_932,18493,4875.670898,4903.418457,#vehicle/#ground_vehicles/#car/#car_crash/#car_racing,4877.152344
bRX9kRQy2P0,shot_2,112504,12.178846,19.085752,#vehicle/#car/#ground_vehicles/#van/#minivan,18.451784
j8gxkJjFYjs,shot_47,86308,208.839996,213.960007,#ground_vehicles/#vehicle/#car/#outdoor/#sports_car,210.800003
L_bLkjBb5co,shot_60,4959,361.694672,368.835144,#vehicle/#car/#ground_vehicles/#outdoor/#exiting_car,362.495453
4IzswCEPBdI,shot_164,87869,704.412048,710.334595,#car/#sports_car/#vehicle/#ground_vehicles/#car_racing,706.872803
lSyUb9gORis,shot_10,7394,61.959999,70.120003,#car/#vehicle/#ground_vehicles/#text/#sports_car,64.839996
tjy9j2FNwfk,shot_27,109006,82.582497,89.589500,#vehicle/#car/#van/#ground_vehicles/#minivan,89.289200
Dx-9CO9Ah4I,shot_25,7143,127.210419,133.883743,#car/#ground_vehicles/#vehicle/#exiting_a_vehicle/#sports_car,127.710915
L_bLkjBb5co,shot_49,4948,290.323364,300.199890,#vehicle/#ground_vehicles/#car/#outdoor/#road,295.328369
-jTghr3QGpY,shot_0,113565,0.000000,13.713700,#car/#vehicle/#ground_vehicles/#outdoor/#exiting_a_vehicle,4.804800
gRltOXgPmlo,shot_229,97766,976.520020,990.080017,#car/#vehicle/#ground_vehicles/#outdoor/#traffic,983.719971
8k1DIrfNr48,shot_31,76249,84.709625,90.173416,#car/#ground_vehicles/#sports_car/#vehicle/#car_racing,86.920166
lX4Z_G1pPAc,shot_13,82305,70.300003,76.500000,#vehicle/#car/#ground_vehicles/#car_racing/#sports_car,74.199997
eaOfgevPphk,shot_61,73716,645.561584,662.119812,#vehicle/#ground_vehicles/#car/#outdoor/#sports_car,646.312317
OwvYlyYnpYs,shot_40,95667,270.436829,280.446838,#vehicle/#car/#ground_vehicles/#outdoor/#minivan,272.171906
dmmSylIE1bE,shot_8,8322,36.040001,41.799999,#vehicle/#ground_vehicles/#car/#exiting_a_vehicle/#outdoor,39.840000
gMzU4O8oxZc,shot_12,113634,53.919998,59.959999,#car/#vehicle/#ground_vehicles/#outdoor/#text,56.639999
9PHEEbnwycg,shot_59,92950,272.472198,280.413452,#car/#ground_vehicles/#vehicle/#minivan/#exiting_a_vehicle,280.346741
WZZ9uccZ370,shot_68,17629,218.177963,245.885635,#vehicle/#ground_vehicles/#car/#car_crash/#car_racing,219.619400
AQSqeZVkcPA,shot_134,109849,212.946060,218.284729,#car/#vehicle/#ground_vehicles/#text/#minivan,213.880341
n9XQE3nY9kY,shot_24,31062,149.883072,155.388565,#car/#ground_vehicles/#vehicle/#construction_vehicles/#exiting_a_vehicle,152.952805
cdLrYS_3PmI,shot_77,97142,301.959991,312.040009,#vehicle/#ground_vehicles/#car/#outdoor/#person,309.320007
vpV3xYGqh9k,shot_234,104148,542.291748,547.964111,#car/#vehicle/#ground_vehicles/#construction_vehicles/#exiting_a_vehicle,546.295776
-3jWVTKYcP0,shot_5,77884,20.480000,27.680000,#ground_vehicles/#car/#vehicle/#text/#outdoor,25.280001
1CTZuQ6hGys,shot_24,92433,333.299988,343.066681,#vehicle/#car/#ground_vehicles/#minivan/#van,336.166656
WZZ9uccZ370,shot_647,18208,3400.196777,3407.123779,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#minivan,3404.120605
dmmSylIE1bE,shot_7,8321,29.320000,36.040001,#vehicle/#car/#ground_vehicles/#exiting_a_vehicle/#police_truck,35.520000
RmNcoo-aAkM,shot_55,9840,200.575378,207.540665,#car/#ground_vehicles/#vehicle/#outdoor/#minivan,206.080872
L_bLkjBb5co,shot_15,4914,88.121368,94.360931,#vehicle/#ground_vehicles/#car/#road/#outdoor,88.321564
6DyNc8L_wZU,shot_8,11045,26.600000,34.000000,#vehicle/#ground_vehicles/#car/#exiting_a_vehicle/#construction_vehicles,31.320000
nEqEwQuWgM8,shot_6,30194,31.400000,37.520000,#car/#ground_vehicles/#vehicle/#car_racing/#sports_car,33.560001
lQKetQkUkxY,shot_80,88268,415.399994,421.679993,#car/#ground_vehicles/#vehicle/#car_racing/#exiting_car,421.160004
xIAYu3rqm5Q,shot_9,75774,45.599998,51.520000,#car/#ground_vehicles/#vehicle/#sports_car/#car_racing,51.360001
0JXDcJQqZrA,shot_605,103885,2246.702881,2252.500244,#sports_car/#car/#ground_vehicles/#car_racing/#vehicle,2249.372070
3fnTZKvX5jg,shot_196,77130,494.076904,500.082916,#sports_car/#car/#car_racing/#ground_vehicles/#vehicle,494.577423
L_bLkjBb5co,shot_13,4912,74.040634,83.249832,#vehicle/#ground_vehicles/#car/#outdoor/#exiting_car,76.709969
Ak8R8M238AI,shot_5,83803,49.682968,56.022633,#car/#vehicle/#ground_vehicles/#car_racing/#sports_car,51.351299
ottkHgfhm1U,shot_125,96130,388.600006,395.519989,#car/#vehicle/#ground_vehicles/#outdoor/#exiting_a_vehicle,389.839996
WdzKJ1DwG20,shot_41,23564,164.038879,174.674500,#car/#car_racing/#ground_vehicles/#sports_car/#vehicle,168.042877
tY11l8wAzyU,shot_12,10979,35.916668,61.666668,#vehicle/#car/#ground_vehicles/#exiting_a_vehicle/#outdoor,43.291668
t5Dbp_SuMHE,shot_21,24836,149.919998,155.440002,#car/#ground_vehicles/#vehicle/#construction_vehicles/#exiting_a_vehicle,151.119995
MiuLvLobAs4,shot_2,76388,176.533340,183.166672,#car/#outdoor/#vehicle/#road/#ground_vehicles,177.600006
dmmSylIE1bE,shot_11,8325,51.880001,62.439999,#car/#vehicle/#ground_vehicles/#text/#outdoor,57.119999
tjy9j2FNwfk,shot_20,108999,54.220833,61.194466,#vehicle/#car/#ground_vehicles/#minivan/#van,55.055000
Cx9i18f5CEo,shot_77,89549,323.089447,328.094421,#ground_vehicles/#vehicle/#car/#minivan/#exiting_a_vehicle,326.693024
dmmSylIE1bE,shot_0,8314,0.000000,5.320000,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#outdoor,0.480000
DJhO2uU4PGw,shot_49,83769,391.124054,398.664948,#car/#ground_vehicles/#sports_car/#vehicle/#car_racing,398.164429
q3YPTkBRaOk,shot_95,83994,619.320007,626.000000,#car_racing/#sports_car/#car/#vehicle/#sports,623.119995
Dx-9CO9Ah4I,shot_12,7130,42.792751,52.218834,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#outdoor,51.885166
0mu9Ie5FF1M,shot_49,9917,165.365204,171.171005,#car/#ground_vehicles/#vehicle/#exiting_a_vehicle/#outdoor,168.101273
RyP_KePP8Go,shot_5,15649,13.666667,18.733334,#car/#vehicle/#ground_vehicles/#car_racing/#sports_car,16.799999
BtwWUTSailQ,shot_13,76368,149.199997,160.080002,#car/#ground_vehicles/#vehicle/#sports_car/#text,152.880005
aRypEBU2u1Y,shot_11,91673,95.637207,105.230125,#vehicle/#car/#ground_vehicles/#sports_car/#outdoor,96.721626
pmtvC8cXUi8,shot_17,115922,75.909164,87.086998,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#sunny,86.252831
L_bLkjBb5co,shot_48,4947,283.850220,290.323364,#vehicle/#car/#ground_vehicles/#exiting_car/#outdoor,284.517578
gSPNbArBZiQ,shot_33,8372,1285.566650,1300.166626,#car/#vehicle/#ground_vehicles/#exiting_a_vehicle/#construction_vehicles,1296.566650
T1MAsrqyLAc,shot_7,5551,52.080002,61.200001,#car/#vehicle/#ground_vehicles/#sports_car/#outdoor,57.639999
QAG9lD87tQw,shot_32,75404,294.752777,304.095459,#vehicle/#car/#ground_vehicles/#outdoor/#eukaryotic_organism,296.295990
Ak8R8M238AI,shot_15,83813,169.502670,180.780594,#car/#ground_vehicles/#vehicle/#car_racing/#outdoor,176.276093
O3ZgPaJWw-U,shot_75,86968,323.416656,328.416656,#car/#ground_vehicles/#vehicle/#construction_vehicles/#minivan,328.291656
jgQJjrqts0k,shot_7,114578,49.000000,56.000000,#vehicle/#ground_vehicles/#car/#exiting_a_vehicle/#van,52.000000
Q2Few-Qin5I,shot_40,73521,173.666672,182.433334,#car/#vehicle/#ground_vehicles/#road/#outdoor,178.066666
O3ZgPaJWw-U,shot_124,87017,527.375000,533.291687,#car/#ground_vehicles/#vehicle/#outdoor/#sports_car,532.875000
jFMj5gzeqLQ,shot_60,7611,618.951660,627.460144,#car/#vehicle/#ground_vehicles/#car_racing/#sports_car,620.453186
L_bLkjBb5co,shot_25,4924,134.667862,147.313828,#vehicle/#car/#ground_vehicles/#road/#outdoor,140.673874
gRltOXgPmlo,shot_435,97972,1962.439941,1968.160034,#car/#emergency_vehicles/#rescue_vehicle/#vehicle/#ground_vehicles,1966.280029
jgQJjrqts0k,shot_9,114580,63.000000,70.000000,#vehicle/#ground_vehicles/#car/#minivan/#exiting_a_vehicle,66.000000
pra3y-bbltM,shot_6,81773,239.960007,249.240005,#car/#ground_vehicles/#vehicle/#sports_car/#text,242.039993
eaOfgevPphk,shot_93,73748,878.586060,886.343811,#car/#ground_vehicles/#vehicle/#car_racing/#outdoor,886.093567
lQKetQkUkxY,shot_17,88205,89.199997,94.320000,#car/#vehicle/#ground_vehicles/#outdoor/#text,94.160004
eUHOx-_1xZc,shot_179,78242,470.011200,476.601135,#car/#sports_car/#ground_vehicles/#vehicle/#car_racing,474.140320
KVdme4ISq8Y,shot_20,88295,140.479996,154.440002,#car/#vehicle/#ground_vehicles/#sports_car/#outdoor,150.559998
O3ZgPaJWw-U,shot_28,86921,122.875000,128.583328,#ground_vehicles/#car/#vehicle/#sports_car/#car_racing,124.416664
FEmG0gSUBhQ,shot_27,71326,247.747498,261.160889,#vehicle/#car/#ground_vehicles/#primate/#exiting_a_vehicle,256.055786
eaOfgevPphk,shot_59,73714,589.797546,616.282349,#ground_vehicles/#vehicle/#car/#sports_car/#outdoor,593.759827
